Date,Open,High,Low,Close,Volume
2025-05-01,5625.14013671875,5658.91015625,5597.35009765625,5604.14013671875,4935270000
2025-05-02,5645.8798828125,5700.7001953125,5642.27978515625,5686.669921875,4854380000
2025-05-05,5655.31982421875,5683.3798828125,5634.47998046875,5650.3798828125,4358260000
2025-05-06,5605.8701171875,5649.580078125,5586.0400390625,5606.91015625,4717260000
2025-05-07,5614.18017578125,5654.72998046875,5578.64013671875,5631.27978515625,4987440000
2025-05-08,5663.60009765625,5720.10009765625,5635.3798828125,5663.93994140625,5627400000
2025-05-09,5679.64990234375,5691.68994140625,5644.14990234375,5659.91015625,4645090000
2025-05-12,5807.2001953125,5845.3701171875,5786.080078125,5844.18994140625,6014580000
2025-05-13,5854.14990234375,5906.64013671875,5845.02001953125,5886.5498046875,5516290000
2025-05-14,5896.740234375,5906.5498046875,5872.10986328125,5892.580078125,5233450000
2025-05-15,5869.81982421875,5924.2099609375,5865.16015625,5916.93017578125,4991290000
2025-05-16,5929.08984375,5958.6201171875,5907.35986328125,5958.3798828125,4850850000
2025-05-19,5902.8798828125,5968.60986328125,5895.68994140625,5963.60009765625,4144010000
2025-05-20,5944.66015625,5953.06005859375,5909.259765625,5940.4599609375,4416850000
2025-05-21,5910.18017578125,5938.3701171875,5830.91015625,5844.60986328125,5254250000
2025-05-22,5841.259765625,5878.080078125,5825.81982421875,5842.009765625,5157050000
2025-05-23,5781.89013671875,5829.509765625,5767.41015625,5802.81982421875,4662820000
2025-05-27,5854.06982421875,5924.330078125,5854.06982421875,5921.5400390625,5366380000
2025-05-28,5925.5400390625,5939.919921875,5881.8798828125,5888.5498046875,4665050000
2025-05-29,5939.9599609375,5943.1298828125,5873.7998046875,5912.169921875,4569750000
2025-05-30,5903.669921875,5922.14013671875,5843.66015625,5911.68994140625,6378540000
2025-06-02,5896.68017578125,5937.39990234375,5861.43017578125,5935.93994140625,4832240000
2025-06-03,5938.56005859375,5981.35009765625,5929.0,5970.3701171875,5026680000
2025-06-04,5978.93994140625,5990.47998046875,5966.10986328125,5970.81005859375,4767050000
2025-06-05,5985.669921875,5999.7001953125,5921.2001953125,5939.2998046875,5091850000
2025-06-06,5987.06005859375,6016.8701171875,5978.6298828125,6000.35986328125,4355710000
2025-06-09,6004.6298828125,6021.31005859375,5994.18017578125,6005.8798828125,4642360000
2025-06-10,6009.91015625,6043.009765625,6000.27978515625,6038.81005859375,4882880000
2025-06-11,6049.3798828125,6059.39990234375,6002.31982421875,6022.240234375,5111550000
2025-06-12,6009.89990234375,6045.43017578125,6003.8798828125,6045.259765625,4669500000
2025-06-13,6000.56005859375,6026.16015625,5963.2099609375,5976.97021484375,5258910000
2025-06-16,6004.0,6050.830078125,6004.0,6033.10986328125,5111710000
2025-06-17,6012.14990234375,6023.25,5974.7998046875,5982.72021484375,4955700000
2025-06-18,5987.93017578125,6018.25,5971.89013671875,5980.8701171875,5106470000
2025-06-20,5999.669921875,6018.2001953125,5952.56005859375,5967.83984375,7451500000
2025-06-23,5969.669921875,6028.77001953125,5943.22998046875,6025.169921875,5597000000
2025-06-24,6061.2099609375,6101.759765625,6059.25,6092.18017578125,5443690000
2025-06-25,6104.22998046875,6108.509765625,6080.08984375,6092.16015625,5171110000
2025-06-26,6112.08984375,6146.52001953125,6107.27001953125,6141.02001953125,5308140000
2025-06-27,6150.7001953125,6187.68017578125,6132.35009765625,6173.06982421875,7889350000
2025-06-30,6193.35986328125,6215.080078125,6174.97021484375,6204.9501953125,5782900000
2025-07-01,6187.25,6210.77978515625,6177.97021484375,6198.009765625,6275310000
2025-07-02,6193.8798828125,6227.60009765625,6188.2900390625,6227.419921875,5645710000
2025-07-03,6246.4599609375,6284.64990234375,6246.4599609375,6279.35009765625,3378110000
2025-07-07,6259.0400390625,6262.06982421875,6201.0,6229.97998046875,5236740000
2025-07-08,6234.02978515625,6242.7001953125,6217.75,6225.52001953125,5739030000
