,0
2025-05-12,0.19813433382282325
2025-05-13,0.2454278460140277
2025-05-14,0.20243423647331943
2025-05-15,0.2443869075613092
2025-05-16,0.24501343816151533
2025-05-19,0.25835752296674963
2025-05-20,0.2587770621741872
2025-05-21,0.32297997081374824
2025-05-22,0.12865294668150076
2025-05-23,0.16655103859628623
2025-05-27,0.24626845264352995
2025-05-28,0.2421824054539851
2025-05-29,0.2159627033876921
2025-05-30,0.17959648461470532
2025-06-02,0.26995515789325214
2025-06-03,0.2643008599043175
2025-06-04,0.24276349095016478
2025-06-05,0.21510438496577092
2025-06-06,0.16872828790829708
2025-06-09,0.1358105486522564
2025-06-10,0.15840062065961266
2025-06-11,0.04547738367094607
2025-06-12,0.04352565134466726
2025-06-13,0.03873671441280689
2025-06-16,0.04599707017171396
2025-06-17,0.06761006290370475
2025-06-18,0.07098972568975688
2025-06-20,0.11764776053592892
2025-06-23,0.15586504912106225
2025-06-24,0.14837147785152283
2025-06-25,0.17272806520607506
2025-06-26,0.19075912980765458
2025-06-27,0.1338167227108949
2025-06-30,0.15038300178519845
2025-07-01,0.10671412319031565
2025-07-02,0.13802025986647787
2025-07-03,0.21198436979311497
2025-07-07,0.2730514699395933
2025-07-08,0.26241216087190933
2025-07-09,0.2821601507949626
2025-07-10,0.25698426455572276
2025-07-11,0.22829399201504888
2025-07-14,0.18799863709709885
2025-07-15,0.11379941573115854
2025-07-16,0.06555531632834513
2025-07-17,0.09926173429773767
2025-07-18,0.06584208459595657
2025-07-21,0.08972384711122772
2025-07-22,0.15500311932777386
2025-07-23,0.15076829110932005
2025-07-24,0.1674874484127617
2025-07-25,0.17467781279063738
2025-07-28,0.10796811013353687
2025-07-29,0.07079905531478267
2025-07-30,0.053103830467655544
2025-07-31,0.05786343798187226
2025-08-01,0.24625195857026885
2025-08-04,0.349434797108867
2025-08-05,0.31965843147757167
2025-08-06,0.2946489681241289
2025-08-07,0.30020748957176835
2025-08-08,0.3522485572791414
2025-08-11,0.435524430998239
2025-08-12,0.2556540034248993
2025-08-13,0.21727040601695538
2025-08-14,0.19574115567403932
2025-08-15,0.24851579818454017
2025-08-18,0.260561712189849
2025-08-19,0.37875532040601045
2025-08-20,0.37532400208861505
2025-08-21,0.31199763331264974
2025-08-22,0.5239903378536408
2025-08-25,0.5301785441142456
2025-08-26,0.5116361535071514
