,0
2025-07-29,0.32667571271522733
2025-07-30,0.31313962635458875
2025-07-31,0.2996185099595492
2025-08-01,0.284347432483994
2025-08-04,0.29346766798639684
2025-08-05,0.2892622908088389
2025-08-06,0.287983709809165
2025-08-07,0.27079502492017876
2025-08-08,0.2606148523064721
2025-08-11,0.2598848554480222
2025-08-12,0.26687624000507515
2025-08-13,0.26625877587076896
2025-08-14,0.26542001720229025
2025-08-15,0.26433501259861825
2025-08-18,0.26523263094312677
2025-08-19,0.29283205498091947
2025-08-20,0.2940407263673761
2025-08-21,0.2919531481622332
2025-08-22,0.293537836916411
2025-08-25,0.2944784621146488
2025-08-26,0.297350744105713
2025-08-27,0.3027386379705108
2025-08-28,0.3035386521546918
2025-08-29,0.3131787686656274
2025-09-02,0.30803124729420855
2025-09-03,0.3104444462838153
2025-09-04,0.3136031258906212
2025-09-05,0.30554486572678635
2025-09-08,0.3131439032415199
2025-09-09,0.32044660624879184
2025-09-10,0.41282560232625815
2025-09-11,0.42296194734085124
2025-09-12,0.4252268947664128
2025-09-15,0.42527465261380143
2025-09-16,0.4221893134714324
2025-09-17,0.4391046217541483
2025-09-18,0.44193165314673183
2025-09-19,0.44225244213336407
2025-09-22,0.4371871162718903
2025-09-23,0.44905414723325343
2025-09-24,0.4459660419603236
2025-09-25,0.4546678252071546
2025-09-26,0.4526560743953364
2025-09-29,0.4454839694237823
2025-09-30,0.4459844900859344
2025-10-01,0.44331690284076675
2025-10-02,0.4416836282431547
2025-10-03,0.43822511747671417
2025-10-06,0.4389956861675812
2025-10-07,0.44154981443974717
2025-10-08,0.4418690943107606
2025-10-09,0.4373402141747956
2025-10-10,0.4240305829017896
2025-10-13,0.42840781209716183
2025-10-14,0.43212016172292006
2025-10-15,0.43078224667593124
2025-10-16,0.42905509347068316
2025-10-17,0.4306444872618665
2025-10-20,0.4253406941066396
2025-10-21,0.41804659295882807
2025-10-22,0.4098357660832623
2025-10-23,0.40829289756887843
2025-10-24,0.42308148038838944
2025-10-27,0.4163155576139915
2025-10-28,0.41193241851629325
2025-10-29,0.4145713790694027
2025-10-30,0.41733997743363555
2025-10-31,0.41608864453758454
2025-11-03,0.41647708183611887
2025-11-04,0.4223931965562086
2025-11-05,0.4215587524814926
2025-11-06,0.42246759241559817
2025-11-07,0.42432018975886293
2025-11-10,0.4233762752830899
2025-11-11,0.42403328858771
2025-11-12,0.40820936714397643
2025-11-13,0.41578004867781587
2025-11-14,0.40824635112455643
2025-11-17,0.40821371288776687
2025-11-18,0.40811835720281353
2025-11-19,0.4073950267053267
2025-11-20,0.41873194985841805
2025-11-21,0.4200825646040623
2025-11-24,0.4148876867954612
2025-11-25,0.41449434070890223
2025-11-26,0.42032177319003977
2025-11-28,0.4175682320308264
2025-12-01,0.4191845343414904
